MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,After oil spill
3.67E+08,2022-12-07T01:29:03,39.84882,-75.3297,6.7,258.3,257,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T01:08:30,39.84878,-75.2856,7.6,272.8,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.67E+08,2022-12-07T01:29:15,39.84669,-75.262,0,294.5,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:29:26,39.84688,-75.2613,0,317.4,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:30:25,39.84669,-75.262,0,293.8,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:30:10,39.84579,-75.3392,5.9,241.3,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.67E+08,2022-12-07T01:09:41,39.84888,-75.2888,7.5,271.9,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.67E+08,2022-12-07T01:30:53,39.8464,-75.2657,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T01:09:53,39.84638,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T01:30:08,39.84835,-75.3322,6.6,251.9,251,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T01:31:11,39.84499,-75.3411,5.8,241.5,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.67E+08,2022-12-07T01:09:26,39.84687,-75.2613,0,264.6,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:10:44,39.84672,-75.2619,0,275.4,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
6.36E+08,2022-12-07T01:32:02,39.83605,-73.595,0.5,197,157,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.67E+08,2022-12-07T01:31:35,39.84667,-75.262,0,296.2,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:30:37,39.84688,-75.2613,0,239.3,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.38E+08,2022-12-07T01:31:24,39.84214,-74.1494,0,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.68E+08,2022-12-07T01:11:42,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:32:21,39.84407,-75.3432,5.8,242,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.67E+08,2022-12-07T01:32:56,39.84688,-75.2613,0,290,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:32:23,39.84671,-75.3371,6.4,246.2,245,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T01:10:42,39.84871,-75.2832,7.3,271.3,269,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T01:11:47,39.84687,-75.2613,0,321.6,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T01:32:53,39.8353,-90.5677,0.3,289.8,328,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.68E+08,2022-12-07T01:34:03,39.83539,-90.5678,0.5,310.3,329,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:32:44,39.84668,-75.262,0,295.8,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:33:53,39.8464,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T01:34:34,39.84505,-75.3416,6.2,244.7,244,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T01:12:44,39.84871,-75.2885,7.3,268.8,269,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T01:34:08,39.84688,-75.2613,0,258.3,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T01:34:43,39.8363,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T01:33:33,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.38E+08,2022-12-07T01:34:28,39.84213,-74.1494,0,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.67E+08,2022-12-07T01:34:41,39.84237,-75.3476,5.8,243.4,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
6.36E+08,2022-12-07T01:35:02,39.83568,-73.5952,0.5,205,155,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.67E+08,2022-12-07T01:34:55,39.84678,-75.262,0,295.8,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:13:54,39.84877,-75.2916,7.1,273.6,272,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T01:35:17,39.84688,-75.2613,0,291.4,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T01:35:21,39.84635,-72.6571,0.5,258.5,511,MAIZEY JAMES,IMO8305688,WDH5170,30,,25,7,,,B,1
3.67E+08,2022-12-07T01:36:04,39.84674,-75.262,0,297.9,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:35:51,39.84149,-75.3498,5.8,239.5,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.68E+08,2022-12-07T01:36:23,39.83555,-90.5679,0.3,343.8,331,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.68E+08,2022-12-07T01:35:52,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T01:37:02,39.8363,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:36:52,39.8464,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T01:36:18,39.84688,-75.2613,0,299.9,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:15:15,39.84674,-75.262,0,279.3,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:37:02,39.8405,-75.3519,5.7,236.6,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.68E+08,2022-12-07T01:37:32,39.83558,-90.5679,0.1,55.2,330,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:16:24,39.84674,-75.262,0,283.6,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:37:27,39.84687,-75.2613,0,261.5,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:36:44,39.84354,-75.3461,6.3,244.2,241,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T01:38:11,39.83939,-75.3538,5.7,231.1,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.67E+08,2022-12-07T01:37:14,39.84679,-75.262,0,286.9,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
6.36E+08,2022-12-07T01:38:02,39.83537,-73.5955,0.6,209,147,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.67E+08,2022-12-07T01:15:04,39.84893,-75.2946,7.1,273.8,271,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T01:38:36,39.84688,-75.2613,0,310.8,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:17:38,39.84687,-75.2613,0,290.3,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:39:46,39.84688,-75.2613,0,296.6,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:17:18,39.84906,-75.3003,7.1,271.4,269,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.68E+08,2022-12-07T01:39:12,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:38:51,39.84175,-75.3501,6.1,236.2,234,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T01:39:35,39.84672,-75.2619,0,276.2,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:18:46,39.84687,-75.2613,0,234.9,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
6.36E+08,2022-12-07T01:41:03,39.83515,-73.5958,0.4,214,134,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.68E+08,2022-12-07T01:38:42,39.83559,-90.5679,0.2,269.8,330,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.68E+08,2022-12-07T01:39:52,39.83559,-90.568,0.2,259,331,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:39:55,39.8464,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T01:39:54,39.84074,-75.352,6.1,233.1,231,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T01:18:24,39.84912,-75.3031,7,271.4,271,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.38E+08,2022-12-07T01:40:27,39.84213,-74.1494,0,360,90,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.68E+08,2022-12-07T01:41:03,39.83555,-90.5681,0.2,211.5,334,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:17:35,39.84674,-75.262,0,285.5,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:40:31,39.837,-75.3576,5.7,230.6,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.67E+08,2022-12-07T01:41:03,39.83945,-75.354,6.2,230.7,229,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.68E+08,2022-12-07T01:19:33,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T01:41:23,39.83631,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:41:50,39.83568,-75.3596,5.5,230.5,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.67E+08,2022-12-07T01:41:54,39.84672,-75.262,0,276,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:19:32,39.84922,-75.306,7,273,272,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.68E+08,2022-12-07T01:42:33,39.8363,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T01:40:13,39.83631,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:42:51,39.84641,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T01:42:07,39.84688,-75.2613,0,325.3,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:40:56,39.84688,-75.2613,0,306.7,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T01:43:42,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:20:50,39.84973,-75.3184,7.2,272.6,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
6.36E+08,2022-12-07T01:44:03,39.83502,-73.5961,0.2,246,122,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.67E+08,2022-12-07T01:40:44,39.84671,-75.2619,0,283.3,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T01:21:52,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:44:23,39.83595,-75.3597,5.9,232.1,231,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.68E+08,2022-12-07T01:44:22,39.83568,-90.568,0.4,306.6,328,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:44:27,39.8469,-75.2613,0,339.8,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:43:17,39.84688,-75.2613,0,230.8,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T01:42:04,39.83552,-90.5681,0.1,91.5,334,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:43:12,39.83713,-75.3577,6.1,230.9,231,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.68E+08,2022-12-07T01:46:03,39.8363,-79.924,0,360,170,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:45:25,39.84677,-75.262,0,280,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:45:56,39.8464,-75.2657,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T01:45:38,39.84688,-75.2613,0,229.8,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T01:46:44,39.83588,-90.5683,0.5,316.1,330,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.68E+08,2022-12-07T01:44:52,39.8363,-79.924,0,360,170,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.38E+08,2022-12-07T01:46:26,39.84213,-74.1494,0,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.67E+08,2022-12-07T01:23:11,39.84998,-75.3244,6.6,267.9,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.67E+08,2022-12-07T01:19:30,39.84964,-75.3149,7.2,272.6,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.38E+08,2022-12-07T01:19:27,39.84214,-74.1495,0,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.67E+08,2022-12-07T01:47:56,39.84688,-75.2613,0,330.4,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T01:48:23,39.83631,-79.9239,0,360,170,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:46:47,39.84688,-75.2613,0,224.3,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
6.36E+08,2022-12-07T01:47:04,39.8351,-73.5961,0.1,100,113,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.67E+08,2022-12-07T01:47:54,39.84671,-75.2619,0,270.3,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:49:05,39.84673,-75.262,0,275.2,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T01:49:33,39.83631,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T01:49:02,39.83608,-90.5685,0.4,317,333,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:49:07,39.84688,-75.2613,0,230.7,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:48:54,39.84638,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.68E+08,2022-12-07T01:20:43,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:51:27,39.84688,-75.2613,0,304,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T01:51:32,39.83617,-90.5687,0.1,267.3,335,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.68E+08,2022-12-07T01:50:23,39.83615,-90.5686,0.2,309.1,335,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:50:17,39.84688,-75.2613,0,287.2,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:51:56,39.8464,-75.2657,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T01:50:06,39.84673,-75.262,0,272.9,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:21:36,39.84937,-75.3113,7,269.5,268,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.68E+08,2022-12-07T01:51:10,39.8471,-72.6606,1.5,292.7,511,MAIZEY JAMES,IMO8305688,WDH5170,30,,25,7,,,B,1
3.68E+08,2022-12-07T01:53:02,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T01:50:43,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:27:05,39.8467,-75.2619,0,297,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
6.36E+08,2022-12-07T01:50:03,39.83523,-73.5959,0.4,75,113,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.67E+08,2022-12-07T01:22:37,39.84939,-75.3138,7,270,269,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T01:52:34,39.84674,-75.262,0,279.2,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T01:54:13,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.38E+08,2022-12-07T01:52:25,39.84213,-74.1494,0,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.67E+08,2022-12-07T01:51:24,39.84674,-75.262,0,270.8,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:29:00,39.84671,-75.337,6,244.3,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.68E+08,2022-12-07T01:54:52,39.83617,-90.5686,0,38.2,334,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.68E+08,2022-12-07T01:56:03,39.83617,-90.5687,0,100,334,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.68E+08,2022-12-07T01:29:22,39.8352,-90.5676,0.4,330.8,329,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:56:26,39.84688,-75.2613,0,288.7,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:53:45,39.8467,-75.262,0,276.5,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T01:52:33,39.83615,-90.5687,0,255.1,335,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.68E+08,2022-12-07T01:51:53,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T01:30:02,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:54:54,39.84667,-75.262,0,275.8,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:54:56,39.8464,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T01:24:35,39.8467,-75.2619,0,294.5,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:56:04,39.84673,-75.262,0,283.1,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T01:57:12,39.83617,-90.5687,0,291.2,334,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:55:07,39.84688,-75.2613,0,251.8,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T01:56:09,39.84714,-72.6618,0.1,301.2,511,MAIZEY JAMES,IMO8305688,WDH5170,30,,25,7,,,B,1
3.68E+08,2022-12-07T01:55:23,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T01:58:52,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.38E+08,2022-12-07T01:55:27,39.84211,-74.1494,0,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.68E+08,2022-12-07T01:31:21,39.84611,-72.6562,0.7,143.8,511,MAIZEY JAMES,IMO8305688,WDH5170,30,,25,7,,,B,1
3.68E+08,2022-12-07T01:56:34,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T01:57:43,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T01:31:14,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:57:25,39.84669,-75.262,0,286.4,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:57:49,39.8464,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.68E+08,2022-12-07T01:58:23,39.83617,-90.5687,0,274.3,334,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:26:40,39.84841,-75.3322,6.3,248.7,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.68E+08,2022-12-07T01:31:43,39.83529,-90.5676,0.1,43.5,327,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.68E+08,2022-12-07T01:26:32,39.8363,-79.9239,0,360,170,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:31:47,39.84688,-75.2613,0,285.8,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:59:54,39.8467,-75.262,0,282,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T01:33:30,39.84322,-75.3454,5.8,243,511,THOMAS D WITTE,IMO8841905,WDD8916,31,0,25,8,3.2,52,A,1
3.68E+08,2022-12-07T01:59:53,39.83631,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T01:58:46,39.84688,-75.2613,0,228.4,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T01:58:34,39.84671,-75.262,0,284.9,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T01:59:33,39.83616,-90.5687,0,280.4,335,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:33:30,39.84585,-75.3394,6.3,244.2,241,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.67E+08,2022-12-07T02:01:17,39.84688,-75.2613,0,294.1,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T02:01:13,39.8363,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
6.36E+08,2022-12-07T01:59:02,39.83575,-73.5951,0.2,10,133,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.68E+08,2022-12-07T02:00:03,39.83616,-90.5687,0,263.5,335,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T02:00:07,39.84687,-75.2613,0,317.6,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T01:28:12,39.83508,-90.5675,0.5,311.5,329,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T02:00:05,39.84674,-75.2621,0,283.1,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T01:27:42,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T02:03:32,39.8362,-90.5685,0.1,74.5,331,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T01:35:37,39.84433,-75.3438,6.3,245.2,241,MARY ALICE,IMO7402738,WCX9570,31,0,30,8,3.6,31,A,1
3.68E+08,2022-12-07T02:00:03,39.83631,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T01:28:52,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T02:02:24,39.84673,-75.262,0,270.4,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T02:02:23,39.8363,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T02:02:23,39.83619,-90.5686,0.1,71.3,333,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
3.67E+08,2022-12-07T02:00:48,39.8464,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T02:02:27,39.84687,-75.2613,0,281.5,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T02:03:36,39.84687,-75.2613,0,314.9,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T02:01:12,39.83616,-90.5686,0.1,71.2,335,MIKE WEISEND,,WDI4815,31,12,47,14,,57,A,1
